time,T_horno,T_preH_pos,T_preH_neg,P_out_pos,P_out_neg,T_out_pos,T_out_neg,Humedad,T_humidificador,Voltaje,Corriente,FlujoO2,FlujoCO2,FlujoCO,FlujoH2,FlujoCH4,FlujoPurga,FlujoN2_neg,FlujoN2_pos,FlujoAire,Valvula solH2,Valvula solCO2,Valvula solCO,Valvula solCH4,Valvula solPurga,Valvula solN2_neg,Valvula solO2,Valvula solN2_pos,Valvula solAire
09-16 16:05:47.21,21.8343,23.2773,21.8324,0.0,0.0,0.0,27.4977,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:47.73,21.8343,23.269,21.8358,0.0,0.0,0.0,27.4985,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:48.24,21.8343,23.269,21.8358,0.0,0.0,0.0,27.4985,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:48.76,21.829,23.2758,21.8241,0.0,0.0,0.0,27.4962,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:49.29,21.829,23.2758,21.8241,0.0,0.0,0.0,27.4962,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:49.81,21.8312,23.2651,21.8361,0.0,0.0,0.0,27.4968,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:50.32,21.8312,23.2651,21.8361,0.0,0.0,0.0,27.4968,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:50.84,21.83,23.2613,21.8331,0.0,0.0,0.0,27.4942,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:51.35,21.83,23.2613,21.8331,0.0,0.0,0.0,27.4942,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:51.86,21.83,23.2659,21.8361,0.0,0.0,0.0,27.4916,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:52.37,21.83,23.2659,21.8361,0.0,0.0,0.0,27.4916,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:52.89,21.8261,23.2698,21.8306,0.0,0.0,0.0,27.4846,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:53.40,21.8261,23.2698,21.8306,0.0,0.0,0.0,27.4846,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:53.91,21.8321,23.2634,21.8298,0.0,0.0,0.0,27.4857,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:54.43,21.8321,23.2634,21.8298,0.0,0.0,0.0,27.4857,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
09-16 16:05:54.94,21.8306,23.2717,21.8298,0.0,0.0,0.0,27.4816,0.0,-40.0,0.0,0.0,8.0,9.0,0.0,5.0,8.0,0.0,5.0,6.0,0.0,True,True,True,True,True,True,True,False,False
