time,T_horno,T_preH_pos,T_preH_neg,T_out_pos,T_out_neg,P_out_pos,P_out_neg,Humedad,T_humidificador,Voltaje,Corriente,FlujoO2,FlujoCO2,FlujoCO,FlujoH2,FlujoCH4,FlujoPurga,FlujoN2_neg,FlujoN2_pos,FlujoAire,Valvula solH2,Valvula solCO2,Valvula solCO,Valvula solCH4,Valvula solPurga,Valvula solN2_neg,Valvula solO2,Valvula solN2_pos,Valvula solAire
03-02 10:03:01.76,24.8887,23.1144,23.763,0.0,23.4126,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:02.02,24.8887,23.1144,23.763,0.0,23.4126,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:02.28,24.8887,23.1144,23.763,0.0,23.4126,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:02.54,24.8933,23.1197,23.76,0.0,23.4134,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:02.80,24.8933,23.1197,23.76,0.0,23.4134,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:03.06,24.8933,23.1197,23.76,0.0,23.4134,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:03.32,24.8955,23.1219,23.7611,0.0,23.4216,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:03.59,24.8955,23.1219,23.7611,0.0,23.4216,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:03.85,24.8955,23.1219,23.7611,0.0,23.4216,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:04.11,24.8955,23.1219,23.7611,0.0,23.4216,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:04.38,24.8913,23.1207,23.7671,0.0,23.4144,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:04.64,24.8913,23.1207,23.7671,0.0,23.4144,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:04.90,24.8913,23.1207,23.7671,0.0,23.4144,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:05.17,24.8913,23.1207,23.7671,0.0,23.4144,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:05.43,24.9,23.1204,23.7633,0.0,23.4103,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:05.69,24.9,23.1204,23.7633,0.0,23.4103,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:05.96,24.9,23.1204,23.7633,0.0,23.4103,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:06.22,24.9,23.1204,23.7633,0.0,23.4103,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:06.49,24.8864,23.1249,23.766,0.0,23.4149,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:06.75,24.8864,23.1249,23.766,0.0,23.4149,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
03-02 10:03:07.02,24.8864,23.1249,23.766,0.0,23.4149,21.0,54.0,0.0,-40.0,-1,-1,7.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,True,False,False,True,False,True,False,False,False
